date,city_code,company,company_revenue_crores,arpu,active_users_lakhs,unsubscribed_users_lakhs,seq_no
01-Aug-22,600001,xyz,30.27,209,14.48,1.18,95
01-Aug-22,500001,xyz,28.35,231,12.27,1.27,96
01-Aug-22,411001,xyz,31.66,161,19.66,1.76,97
01-Aug-22,380001,xyz,29.23,224,13.05,1.22,98
01-Aug-22,302001,xyz,17.71,175,10.12,1.03,99
01-Aug-22,226001,xyz,15.67,248,6.32,0.58,100
01-Aug-22,800008,xyz,11.05,212,5.21,0.52,101
01-Aug-22,641001,xyz,17.7,235,7.53,0.72,102
01-Aug-22,160017,xyz,7.67,191,4.02,0.39,103
01-Aug-22,122001,xyz,6.31,192,3.29,0.26,104
01-Aug-22,492001,xyz,3.59,237,1.51,0.14,105
01-Sep-22,400001,xyz,64.81,240,27,2.25,106
01-Sep-22,110001,xyz,48.47,218,22.23,2.22,107
01-Sep-22,700001,xyz,47.95,209,22.94,1.73,108
01-Sep-22,560001,xyz,42.22,225,18.76,1.92,109
01-Sep-22,600001,xyz,31.55,188,16.78,1.73,110
01-Sep-22,500001,xyz,27.34,250,10.94,0.87,111
01-Sep-22,411001,xyz,45.79,164,27.92,2.32,112
01-Sep-22,380001,xyz,23.07,255,9.05,0.65,113
01-Sep-22,302001,xyz,14.93,229,6.52,0.71,114
01-Sep-22,226001,xyz,13.28,249,5.33,0.44,115
01-Sep-22,800008,xyz,11.86,250,4.74,0.38,116
01-Sep-22,641001,xyz,8.59,177,4.85,0.53,117
01-Sep-22,160017,xyz,10.32,163,6.33,0.63,118
01-Sep-22,122001,xyz,6.35,238,2.67,0.21,119
01-Sep-22,492001,xyz,3.73,173,2.16,0.18,120
